municipio,barrio,actividad_principal,codigo_ciiu,clasificación_de_la_empresa,sector_económico,nombre_cargo,numero_de_vacantes,numero_días_a_laborar_por_semana,salario_honorarios,tipo_de_contrato,duración_contrato_(meses),discapacidad,rango_edad,sexo,nivel_educativo,título,nivel_educativo_finalizado,capacitación_específica,manejo_programas_informáticos,programas_informáticos,años_de_experiencia_requerida,disponibilidad_fuera_ciudad,requiere_vehiculo,vehiculo,categoria,visa_pasaporte,idiomas
medellin,aguacatala,industrias manufactureras,c.,pequeña,"comercio, hoteles y restaurantes",vendedor tienda a tienda,1,6,700000,termino fijo,3,no dato,entre 19 y 45,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,aguacatala,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,pequeña,comunicaciones,tecnico de mantenimiento,1,5,1166000,termino indefinido,6,no dato,mayor o igual que 22,indiferente,técnico,mantenimiento electronico o afines,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
medellin,aguacatala,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,pequeña,comunicaciones,tecnico de mantenimiento,1,5,1166000,termino indefinido,6,no dato,mayor o igual que 22,indiferente,técnico,mantenimiento electronico o afines,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
medellin,aguacatala,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,pequeña,comunicaciones,tecnico de mantenimiento,1,5,1166000,termino indefinido,6,no dato,mayor o igual que 22,indiferente,técnico,mantenimiento electronico o afines,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
medellin,aguacatala,educación,p.,mediana,educación,asesor call center,1,5,1200000,termino fijo,3,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,si,"excel, word, internet",6 meses,no,no,no aplica,no aplica,no,no dato
medellin,aguacatala,"actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas).",j.62.620.6201,pequeña,informatic,desarrollador,1,5,2500000,termino indefinido,6,no dato,menor o igual que 45,indiferente,profesional,ingenieria de sistemas o ing. electronica o mecatronica,si,"c#, vb.net y logica de programación",si,office,2 años,no,no,no aplica,no aplica,no,inglés
medellin,aguacatala,comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,g.,pequeña,"comercio, hoteles y restaurantes",conductor de ambulancia,3,6,913000,termino fijo,3,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller,si,primeros auxilios y curso de conduccion de vehiculo de emergencia cove,no,no aplica,12 meses,no,no,no aplica,c2,no,no dato
medellin,aguacatala,expendio a la mesa de comidas preparadas.,i.56.561.5611,pequeña,"comercio, hoteles y restaurantes",auxiliar de cocina,1,6,900000,termino fijo,3,no dato,mayor o igual que 18,indiferente,técnico,gastronomia,si,manipulación de alimentos,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
envigado,alcala,elaboración de productos alimenticios.,c.10.,pequeña,"comercio, hoteles y restaurantes",asistente de gerencia,1,6,1100000,termino fijo,6,no dato,entre 25 y 35,indiferente,tecnologico,recursos humanos,si,no aplica,si,"excel, word, diseño",2 años,no,no,no aplica,no aplica,no,no dato
envigado,alcala,otras actividades de atención relacionadas con la salud humana.,q.86.869.,pequeña,"servicios comunales, sociales y personales",psicologo,1,5,2000000,prestación de servicios,12,fisica: disfonia muscular,mayor o igual que 22,indiferente,profesional,profesional en psicologia,si,no aplica,si,oficce y aplicativos,12 meses,no,no,no aplica,no aplica,no,no dato
